0.47826,0.57692,0.59722,0.32314,0.27473,0.15094,0.3268,0.45714,0.25,0.58571,0.24211,0.23381,0.4717,0.14474,0.27273,0.39024,0.36667,0.53333,1
0.3913,0.30769,0.61111,0.16157,0.10989,0.13208,0.24183,0.54286,0.16667,0.35714,0.21053,0.17506,0.30818,0.17105,0.40909,0.34146,0.43333,0.6,1
0.43478,0.30769,0.58333,0.24017,0.17582,0.13208,0.20915,0.57143,0.16667,0.35714,0.15789,0.14988,0.11321,0.052632,0.27273,0.2439,0.76667,0.86667,1
0.26087,0.42308,0.41667,0.44105,0.61538,0.9434,0.24183,0.54286,0.16667,0.37143,0.58421,0.16906,0.49686,0.89474,0.40909,0.26829,0.13333,0.066667,3
0.73913,0.92308,0.91667,0.29694,0.032967,0.075472,0.93464,0,0.91667,0.72857,0.78947,0.92686,0.97484,0.34211,0.22727,0.21951,0.16667,0.066667,3
0.52174,0.38462,0.45833,0.30131,0.1978,0.075472,0.26797,0.45714,0.16667,0.35714,0.24211,0.21223,0.39623,0.092105,0.59091,0.02439,0.8,0.76667,3
0.36957,0.38462,0.36111,0.23144,0.1978,0.13208,0.1634,0.62857,0.083333,0.4,0.16842,0.11631,0.34591,0.10526,0.13636,0.073171,0.56667,0.7,1
0.28261,0.038462,0.30556,0.15721,0.15385,0.09434,0.065359,0.8,0,0.12857,0.057895,0.046763,0.018868,0.065789,0.090909,0.34146,0.8,0.9,1
0.43478,0.42308,0.80556,0.40611,0.16484,0.16981,0.46405,0.28571,0.41667,0.4,0.37895,0.38489,0.27044,0.065789,0.18182,0.34146,0.63333,0.76667,2
0.28261,0.11538,0.41667,0.17031,0.15385,0.13208,0.13725,0.68571,0.083333,0.17143,0.12105,0.098321,0.11321,0.092105,0.090909,0.2439,0.6,0.7,1
0.36957,0.038462,0.36111,0.13974,0.087912,0.075472,0.071895,0.8,0,0,0.094737,0.047962,0.056604,0.078947,0.22727,0.63415,0.66667,0.7,2
0.32609,0.5,0.47222,0.29258,0.23077,0.075472,0.26144,0.48571,0.16667,0.42857,0.26316,0.19784,0.52201,0.15789,0.22727,0.26829,0.43333,0.46667,3
